  0   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1   1 
  u   p   p   u   p   u   u   u   u   p   u   p   p   u   p   p   p   l   p   p   l   p   p   p   p   p   l 
  p   u   u   p   u   p   p   p   p   u   p   l   u   p   l   u   u   p   l   l   p   l   l   l   u   u   p 
  u   p   p   u   p   u   u   u   u   p   u   p   p   u   p   p   p   u   p   p   l   p   p   p   p   p   u 
  u   p   p   u   p   u   u   u   u   p   u   p   p   l   p   p   p   l   p   p   l   p   p   p   p   p   l 
  p   u   u   p   u   p   p   p   p   u   p   u   u   p   l   u   u   p   l   u   p   l   l   l   l   l   p 
  p   u   u   p   u   p   p   p   p   l   p   u   u   p   u   u   u   p   u   u   p   u   u   u   u   u   p 
  p   u   u   p   u   p   p   p   p   u   p   l   u   p   u   u   u   p   u   u   p   u   u   u   u   u   p 
  p   u   u   p   u   p   p   p   p   u   p   u   u   p   u   u   u   p   u   u   p   u   u   u   u   u   p 
  u   p   p   u   p   u   u   u   u   p   u   p   p   u   p   p   p   u   p   p   u   p   p   p   p   p   u 
  u   p   p   u   p   u   u   u   u   p   u   p   p   l   p   p   p   l   p   p   l   p   p   p   p   p   l 
  p   u   u   p   u   p   p   p   p   u   p   u   u   p   l   u   u   p   l   u   p   l   u   u   u   u   p 
  p   u   u   p   u   p   p   p   p   u   p   u   u   p   u   u   u   p   u   u   p   u   u   u   u   u   p 
  u   p   p   u   p   u   u   u   u   p   u   p   p   u   p   p   p   u   p   p   u   p   p   p   p   p   u 
  u   p   p   u   p   u   u   u   u   p   u   p   p   u   p   p   p   l   p   p   l   p   p   p   p   p   l 
  p   u   u   p   u   p   p   p   p   u   p   u   u   p   u   u   u   p   l   u   p   l   u   u   u   u   p 
  u   p   p   u   p   u   u   u   u   p   u   p   p   u   p   p   p   u   p   p   u   p   p   p   p   p   u 
22
1001111010000100100001
